verb,tense,ana,latinana,nahno,latinnahno,anta,latinanta,anti,latinanti,antom,latinantom,howa,latinhowa,hiya,latinhiya,hom,latinhom,order,pronouns,latinpro
رقد,الماضي/الحاضر/المستقبل,طصغ/طصغ/أذتصغ,adhatsagh/tsagh/tsagh,نطص/نطص/أنطص,Anttas/nttas/nttas,هتصض/تصض/أتتصض,atetsadh/tsadh/hetsadh,هطص/طص/أتطص,atetas/tas/htas,أطصم/طصم/أتطصم,atetsam/tsam/atsam,يطص/يطص/أيطص,aytas/ytas/ytas,هطص/هطص/أتطص,etetas/htass/htass,طصن/طصن/أطصن,Atsan/tsan/tsan,مع ضمائر المخاطب فقط,أطص/أطص/أطصت,ettsat/ettas/ettas
أكل,الماضي/الحاضر/المستقبل,تشيغ/ تـــــتـــــغ/ أتــشغ,Atchagh/tetagh/tchigh,نــتـــشا/نـتــت/أنـتــش,Annatech/ntat/netcha,تـشيذ/تــتــذ/أتــتــشذ,atetchadh/tetadh/tchidh,هتشيذ/هتــتــذ/أتــتــشذ,atetchadh/htetadh/hatchidh,تشيم/تــتــم/أتــتــشم,atetcham/tetam/tchim,يــتــشا/يــتــت/أيــتــش,ayetach/ytat/yetcha,هـتـشا/هـتــت/أتــتــش,atetch/htat/hetcha,تشين/تــتــن/أتشن,atchan/tetan/tchin,مع ضمائر المخاطب فقط,أتش/أتش/أتشت,atchat/atch/atch
اكل,الماضي/الحاضر/المستقبل,تشيغ/ تـــــتـــــغ/ أتــشغ,Atchagh/tetagh/tchigh,نــتـــشا/نـتــت/أنـتــش,Annatech/ntat/netcha,تـشيذ/تــتــذ/أتــتــشذ,atetchadh/tetadh/tchidh,هتشيذ/هتــتــذ/أتــتــشذ,atetchadh/htetadh/hatchidh,تشيم/تــتــم/أتــتــشم,atetcham/tetam/tchim,يــتــشا/يــتــت/أيــتــش,ayetach/ytat/yetcha,هـتـشا/هـتــت/أتــتــش,atetch/htat/hetcha,تشين/تــتــن/أتشن,atchan/tetan/tchin,مع ضمائر المخاطب فقط,أتش/أتش/أتشت,atchat/atch/atch
نام,الماضي/الحاضر/المستقبل,طصغ/طصغ/أذتصغ,adhatsagh/tsagh/tsagh,نطص/نطص/أنطص,Anttas/nttas/nttas,هتصض/تصض/أتتصض,atetsadh/tsadh/hetsadh,هطص/طص/أتطص,atetas/tas/htas,أطصم/طصم/أتطصم,atetsam/tsam/atsam,يطص/يطص/أيطص,aytas/ytas/ytas,هطص/هطص/أتطص,etetas/htass/htass,طصن/طصن/أطصن,Atsan/tsan/tsan,مع ضمائر المخاطب فقط,أطص/أطص/أطصت,ettsat/ettas/ettas
شرب,الماضي/الحاضر/المستقبل,سويغ/سسغ/أسوغ,Aswagh/sesagh/swigh,نسوا/نسس/أنسو,Aneso/nses/neswa,سويذ/سسذ/أتسوذ,ateswadh/sesadh/swidh,سويذ/سسذ/أتسوذ,ateswadh/sesadh/swidh,سويم/سسم/أتسوم,ateswam/sesam/swim,يسوا/يسس/أيسو,ayyesso/yses/yeswa,هسوا/هسس/أتسو,attesso/hses/heswa,سـويــن/سـسن/أسـون,aswan/sesan/swin,مع ضمائر المخاطب فقط,أسو/أسو/أسوت,asswat/esso/esso
جاء,الماضي/الحاضر/المستقبل,أوسيغد/تاسغد/أداسغ,adasgh/taseghd/osighd,نوسيد/نـتـاسد/أدنـاس,adenas/ntased/nousid,أوسـيـد/تـاسد/أتـاسد,etased/tesad/ousid,أوسيـد/تـاسد/أتـاسد,etased/tesad/ousid,أوسيمـد/تـاسمد/أتـاسمد,etasemd/tasemd/ousimed,يـوسيـد/يـتـاسد/أديـاس,edias/yetased/yousid,هوسيــد/هـتـاسد/أتـاسـد,etased/htased/housid,أوسيـنـد/تـاسند/أداسـنـد,edasend/tesend/ousined,مع ضمائر المخاطب فقط,أرواح/أرواح/أرواحت,erwahet/erwah/erwah
ضرب,الماضي/الحاضر/المستقبل,أوثـيغ/تـشاذغ/ أذوثـغ,adhothegh/tchadhegh/othigh,نـوثــــا/نـتـشاذ/أنـوث,enoth/netchadh/notha,أوثـيـذ/ تـشاذ/أتـوثـذ,etothadh/tchadh/othidh,أوثـيـذ/ تـشاذ/أتـوثـذ,atothadh/tchadh/othidh,أوثـيـم/تـشاثـم/أتـوثـم,atotham/tchathem/othim,يـوثـا/يـتـشاذ/أيـوث,ayoth/yetchadh/yotha,هوثـا/هـتـشاذ/أتـوث,atoth/hetchadh/hotha,أوثـيـن/تـشاثـن/أذوثـن,adhothen/tchathen/othin,مع ضمائر المخاطب فقط,أوث/أوث/أوثـت,outhet/outh/outh
ضحك,الماضي/الحاضر/المستقبل,ضصيغ/ضصغ/أضصغ,adhsagh/dhasagh/dhsigh,نضصا/نضص/أنضص,andhas/ndhas/nadhsa,هضصيـذ/هضصذ/أتـضصض,atadhsadh/hdhasadh/hadhsidh,هضصيـذ/هضصذ/أتضصض,atadhsadh/hdhasadh/hadhsidh,هضصيم/هضصم/أتضصم,atadhsam/hdhasam/hadhsim,يضصا/يضص/أيضص,ayadhs/ydhas/yadhsa,هضصا/هضص/أتضص,atadhs/hdhas/hadhsa,ضصيـن/ضصن/أضصن,adhsan/dhasan/dhsin,مع ضمائر المخاطب فقط,أضص/أضص/أضصت,adhsat/adhs/adhs
انتظر,الماضي/الحاضر/المستقبل,راجيغ/تراجيغ/أراجيغ,arajigh/trajigh/rajigh,نراجا/نـتـراجا/أنـراجا,anraja/netraja/nraja,راجيـذ/تراجيـذ/أتراجيـذ,atrajidh/trajidh/rajidh,راجيـذ/تراجيـذ/أتراجيـذ,atrajidh/trajidh/rajidh,راجيم/تراجيم/أتراجيم,atrajim/trajim/rajim,يـراجا/يـتـراجا/أيـراجا,ayraja/yetraja/yraja,هراجا/هـتـراجا/أتـراجا,atraja/hetraja/hraja,راجان/تراجان/أرجان,arajan/trajan/rajan,مع ضمائر المخاطب فقط,راجا/راجا/راجـات,rajat/raja/raja
إنتظر,الماضي/الحاضر/المستقبل,راجيغ/تراجيغ/أراجيغ,arajigh/trajigh/rajigh,نراجا/نـتـراجا/أنـراجا,anraja/netraja/nraja,راجيـذ/تراجيـذ/أتراجيـذ,atrajidh/trajidh/rajidh,راجيـذ/تراجيـذ/أتراجيـذ,atrajidh/trajidh/rajidh,راجيم/تراجيم/أتراجيم,atrajim/trajim/rajim,يـراجا/يـتـراجا/أيـراجا,ayraja/yetraja/yraja,هراجا/هـتـراجا/أتـراجا,atraja/hetraja/hraja,راجان/تراجان/أرجان,arajan/trajan/rajan,مع ضمائر المخاطب فقط,راجا/راجا/راجـات,rajat/raja/raja
